,k,r,c,a SSE Action,b SSE Action,SSEAction,R2_SSE_Action,a SSE External,b SSE External,SSEExternal,R2_SSE_External
140,1,-3.6357142857142852,0.0007499999999999999,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
141,1,-3.6357142857142852,0.0009,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
142,1,-3.6357142857142852,0.00105,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
143,1,-3.6357142857142852,0.0012,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
144,1,-3.6357142857142852,0.0013499999999999999,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
145,1,-3.6357142857142852,0.0014999999999999998,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
146,1,-3.6357142857142852,0.0016499999999999998,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
147,1,-3.6357142857142852,0.0018,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
148,1,-3.6357142857142852,0.00195,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
149,1,-3.6357142857142852,0.0021,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
150,1,-2.928571428571428,0.0,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
151,1,-2.928571428571428,0.00015,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
152,1,-2.928571428571428,0.0003,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
153,1,-2.928571428571428,0.00045,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
154,1,-2.928571428571428,0.0006,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
155,1,-2.928571428571428,0.0007499999999999999,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
