,ID,k,r,c,a SSE Action,b SSE Action,SSEAction,R2_SSE_Action,a SSE External,b SSE External,SSEExternal,R2_SSE_External
53,4,12,-2.81,0.0001,12.673435898986114,303.6811018686082,7.937270097915348e-13,1.0,9.794769376254708,313.29659461531907,9.912594244913296e-15,1.0
54,4,13,-2.81,0.0001,13.157127199179932,303.3755581291215,5.325333764335976e-13,1.0,10.168594191940795,313.0604526686766,6.848390656179111e-15,1.0
55,4,14,-2.81,0.0001,13.625085138963195,303.0761712783696,3.6505236061062345e-13,1.0,10.530259347974019,312.82906911674934,4.997300305842898e-15,1.0
56,5,1,-2.81,0.0001,2.14631096440916,503.9926813010487,1.2919196655140351e-14,0.9999999999999996,12.198183702924167,470.43069450299544,1.476368763074375e-14,1.0
57,5,2,-2.81,0.0001,2.606149257129742,503.8037672203863,1.1027933363479526e-13,1.0,14.811593757426543,469.35703939578565,1.0879306557209003e-11,1.0
58,5,3,-2.81,0.0001,3.014130435367562,503.5506025722917,8.295056770697724e-15,1.0,17.130284149348352,467.9182173442051,8.745853160844494e-15,1.0
59,5,4,-2.81,0.0001,3.3804780175796365,503.30818711599755,1.9050835284091871e-13,0.9999999999999996,19.2123564571213,466.5404945147633,8.48804872025109e-12,1.0
60,5,5,-2.81,0.0001,3.7135536574117554,503.0885009988405,5.598837080894394e-11,1.0,21.10534788228844,465.2918720348264,3.1229344810530877e-12,1.0
61,5,6,-2.81,0.0001,4.019721339460285,502.8902974272491,1.8073692066549376e-13,1.0,22.845384820512635,464.16548691098126,1.7025144571444756e-12,1.0
62,5,7,-2.81,0.0001,4.303878697051007,502.70974132534604,5.4219272802085285e-11,0.9999999999999996,24.460359667411723,463.1392561751472,1.16929867025538e-12,1.0
63,5,8,-2.81,0.0001,4.569848898394158,502.5430706218039,5.719861045036984e-15,1.0,25.971938248597407,462.19208629907916,2.3970430353320297e-13,1.0
64,5,9,-2.81,0.0001,4.820632150520002,502.3872400134374,5.775617138134873e-15,1.0,27.397221073472398,461.30645025100023,2.3379395671334273e-13,1.0
